,id,type,subtype,price,transactionType,zip,visualisationOption,cuisine_type,constructionYear,condition,heatingType,room_number,atticExists,basementExists,hasSwimmingPool,indoor,outdoor,short_id,company_name,mètres carrés,commune
0,9042129,apartment group,apartment group,336000 - 610000,for sale,1000,xl,No infos,2017.0,,,,False,False,False,1.0,1.0,2575488,we invest real estate,94,Bruxelles
1,9041098,apartment group,apartment group,165000 - 420000,for sale,6001,xl,No infos,2017.0,,,,False,False,False,,,1400721,concept confort sprl,64,Marcinelle
2,9039019,apartment,apartment,1550000,for sale,1050,xl,usa hyper equipped,2017.0,as new,gas,3.0,False,False,False,,1.0,2595964,lecobel vaneau vente neuf,213,Ixelles
3,9043036,apartment,apartment,195000,for sale,9600,xl,installed,2014.0,good,gas,2.0,False,False,False,,,1002634,immo beguin,75,Renaix
4,9042073,apartment,apartment,320000,for sale,1070,xl,usa hyper equipped,2017.0,as new,gas,3.0,False,True,False,1.0,1.0,2916018,sky realty,130,Anderlecht
5,9034494,apartment,apartment,715000,for sale,1950,xl,usa hyper equipped,2020.0,as new,gas,2.0,False,True,False,1.0,1.0,2352,latour et petit vente,126,Kraainem
6,9042950,apartment,triplex,235000,for sale,6010,xl,hyper equipped,2013.0,as new,gas,3.0,False,False,False,,1.0,663882,etimo,149,Couillet
7,8997289,apartment,flat studio,224500,for sale,1180,xl,hyper equipped,1950.0,good,gas,1.0,False,False,False,,,1731013,orientations,52,Uccle
8,9042175,apartment group,apartment group,127000 - 166000,for sale,1160,xl,No infos,1962.0,good,gas,1.0,False,False,False,1.0,1.0,2575488,we invest real estate,19,Auderghem
9,9039433,apartment,apartment,780000,for sale,1180,xl,usa hyper equipped,1962.0,just renovated,gas,3.0,False,True,False,1.0,1.0,1942392,bathim &amp; co,190,Uccle
10,9038896,apartment,apartment,210000,for sale,4430,xl,installed,2020.0,as new,gas,2.0,False,True,False,,1.0,558223,cd consult,77,Ans
11,9038897,apartment,apartment,250000,for sale,4430,xl,installed,2020.0,as new,gas,2.0,False,True,False,,1.0,558223,cd consult,97,Ans
12,8603832,apartment group,apartment group,165000 - 449000,for sale,8710,xl,No infos,1969.0,as new,gas,2.0,False,False,False,,,1600308,dewaele | vastgoed met advies waregem,58,Wielsbeke
13,9039312,apartment,apartment,358000,for sale,9000,xl,installed,1969.0,good,gas,2.0,False,True,False,,,348077,trevi gent,85,Gand
14,9039311,apartment,loft,360500,for sale,2060,xl,installed,1918.0,good,gas,2.0,False,True,False,1.0,,348077,trevi gent,114,Anvers
15,9038507,apartment,duplex,199000,for sale,8370,xl,installed,2004.0,good,gas,2.0,False,True,False,,,2759428,immo marina,87,Blankenberge
16,9037014,apartment,apartment,288000,for sale,1070,xl,usa hyper equipped,1991.0,as new,gas,2.0,False,True,False,,,3672925,No agency,88,Anderlecht
17,9037272,apartment group,apartment group,210000 - 225000,for sale,5170,xl,No infos,2022.0,as new,gas,2.0,False,False,False,,10.0,2164972,century 21 la clé,78,Bois%20de%20Villers
18,9034495,apartment,flat studio,239500,for sale,1160,xl,usa hyper equipped,2022.0,as new,gas,0.0,False,False,False,,,2352,latour et petit vente,46,Auderghem
19,9034656,apartment,service flat,320000,for sale,8670,xl,usa hyper equipped,2019.0,as new,gas,1.0,False,False,False,,,1361501,immo la terrasse,57,Sint-Idesbald
20,9035930,apartment,apartment,229000,for sale,1040,xl,usa installed,1975.0,as new,gas,1.0,False,True,False,,,2305,abita agence immobilière scrl,52,Etterbeek
21,9037648,apartment group,apartment group,614000 - 614000,for sale,1020,xl,No infos,2015.0,as new,gas,1.0,False,False,False,,,2019,structura,250,LAKEN
22,9037183,apartment,apartment,265000,for sale,9050,xl,installed,2015.0,as new,gas,1.0,False,False,False,,,2118760,landbergh,76,Gentbrugge
23,9036417,apartment,apartment,169000,for sale,1080,xl,not installed,1960.0,to renovate,gas,2.0,False,True,False,,,2953237,realor  properties,70,Molenbeek-St-Jean
24,9036522,apartment group,apartment group,155000 - 200000,for sale,7180,xl,No infos,1966.0,to renovate,gas,2.0,False,False,False,,,2658049,les viviers properties,61,Seneffe
25,9035995,apartment,apartment,198000,for sale,1500,xl,semi equipped,1966.0,good,gas,2.0,False,True,False,,,989034,pajota halle,87,Halle
